fileID,f1,f2,vot,notes
bi03_kaka,1187.90,1889.25,22.36,
bi03_kaka1,829.80,1496.98,36.50,
bi03_kaka2,826.25,1657.23,31.68,
bi03_keke,626.60,2397.43,23.49,
bi03_keke1,526.83,2277.50,25.55,
bi03_keke2,402.51,2524.69,25.24,
bi03_kiki,424.22,2669.39,38.42,
bi03_kiki1,353.80,2694.37,32.15,
bi03_kiki2,339.63,2682.60,29.03,
bi03_koko,467.54,858.09,31.74,
bi03_koko1,563.08,895.71,36.49,
bi03_koko2,804.59,1115.46,37.01,
bi03_kuku,405.34,757.57,29.48,
bi03_kuku1,280.86,1660.64,27.45,
bi03_kuku2,413.05,826.83,39.82,
bi03_paka,1033.39,1692.18,13.42,
bi03_paka1,796.39,1616.02,17.97,
bi03_paka2,664.87,1770.31,18.00,
bi03_peke,277.37,1710.05,16.30,
bi03_peke1,567.16,2326.65,20.72,
bi03_peke2,768.53,2450.98,16.67,
bi03_piki,383.32,2723.14,21.29,
bi03_piki1,333.85,2837.70,25.49,
bi03_piki2,1371.81,2683.31,21.61,
bi03_poko,520.25,908.59,37.44,
bi03_poko1,607.99,1588.64,15.96,
bi03_poko2,525.78,874.27,29.41,
bi03_puku,541.11,1973.70,28.67,
bi03_puku1,688.70,1206.08,34.88,
bi03_puku2,416.87,823.78,19.95,
bi03_taka,772.98,1641.03,22.56,
bi03_taka1,850.79,1636.25,21.46,
bi03_taka2,867.25,1519.56,16.69,
bi03_teke,473.46,2353.11,17.12,
bi03_teke1,468.62,2399.10,21.35,
bi03_teke2,448.01,2402.31,32.23,
bi03_tiki,357.06,2509.28,14.68,
bi03_tiki1,1144.13,2683.92,18.11,
bi03_tiki2,456.27,2018.30,31.37,
bi03_toko,621.44,893.70,26.82,
bi03_toko1,771.00,1037.22,20.62,
bi03_toko2,776.97,1018.75,18.93,
bi03_tuku,523.14,761.39,17.12,
bi03_tuku1,398.94,734.56,16.12,
bi03_tuku2,398.05,767.46,25.13,
