fileID,f1,f2,vot,notes
ne01_kaka,895.54,1647.51,42.56,
ne01_kaka1,952.29,1768.54,43.89,
ne01_kaka2,1080.62,1743.79,31.22,
ne01_keke,466.20,2463.38,43.48,
ne01_keke1,588.87,2499.75,37.78,
ne01_keke2,492.96,2634.06,32.10,
ne01_kiki,352.99,2845.21,39.04,
ne01_kiki1,1165.89,2180.08,58.07,
ne01_kiki2,438.61,2791.51,46.82,
ne01_koko,659.41,1075.39,52.42,
ne01_koko1,576.50,1066.94,34.84,
ne01_koko2,645.22,1102.78,38.24,
ne01_kuku,488.69,1105.42,59.83,
ne01_kuku1,445.86,1014.60,60.98,
ne01_kuku2,1063.97,2074.41,49.07,
ne01_paka,737.36,1516.96,24.98,
ne01_paka1,845.52,1660.40,23.06,
ne01_paka2,862.22,1628.34,45.87,
ne01_peke,477.59,2628.51,23.00,
ne01_peke1,432.77,2744.93,22.24,
ne01_peke2,538.81,2508.77,12.48,
ne01_piki,403.70,2814.09,20.29,
ne01_piki1,418.54,2877.34,14.62,
ne01_piki2,389.12,2927.76,15.34,
ne01_poko,533.72,1077.70,31.22,
ne01_poko1,570.23,1156.11,28.28,
ne01_poko2,499.75,1049.06,24.98,
ne01_puku,417.87,1061.87,30.74,
ne01_puku1,447.80,1067.51,56.80,
ne01_puku2,960.90,1200.53,51.19,
ne01_taka,896.84,1702.58,18.89,
ne01_taka1,1212.54,1790.39,15.30,
ne01_taka2,949.63,1682.76,15.04,
ne01_teke,507.60,2467.69,25.98,
ne01_teke1,547.13,2471.01,17.67,
ne01_teke2,901.87,2526.34,20.88,
ne01_tiki,379.10,2877.47,28.81,
ne01_tiki1,387.64,2846.70,30.68,
ne01_tiki2,360.54,3011.79,39.27,
ne01_toko,597.03,1003.24,36.79,
ne01_toko1,442.06,1076.43,32.08,
ne01_toko2,549.28,1061.71,18.17,
ne01_tuku,423.43,1062.03,44.39,
ne01_tuku1,412.82,1073.98,32.78,
ne01_tuku2,1059.85,1675.48,45.20,
