fileID,f1,f2,vot,notes
ne02_kaka,849.83,1601.81,45.35,
ne02_kaka1,738.94,2152.93,58.65,
ne02_kaka2,1158.83,1629.12,47.10,
ne02_keke,479.52,2411.88,41.39,
ne02_keke1,461.13,2458.89,51.18,
ne02_keke2,498.26,2252.05,34.25,
ne02_kiki,356.74,2686.90,64.92,
ne02_kiki1,343.63,2781.80,90.99,
ne02_kiki2,332.63,2750.57,58.05,
ne02_koko,563.63,1046.54,54.09,
ne02_koko1,484.25,1050.72,44.16,
ne02_koko2,546.95,1082.25,48.71,
ne02_kuku,1000.86,1357.98,69.12,
ne02_kuku1,276.12,1187.86,64.09,
ne02_kuku2,483.35,1140.93,55.33,
ne02_paka,758.77,1666.65,24.96,
ne02_paka1,867.78,1517.80,19.62,
ne02_paka2,726.93,1829.02,22.46,
ne02_peke,543.69,2396.06,44.80,
ne02_peke1,515.12,2470.48,15.76,
ne02_peke2,530.48,2464.83,41.42,
ne02_piki,332.85,2619.17,23.69,
ne02_piki1,348.41,2612.80,16.39,
ne02_piki2,452.45,2626.93,21.88,
ne02_poko,579.18,1037.33,18.73,
ne02_poko1,1067.81,2183.44,26.67,
ne02_poko2,849.20,2146.10,27.95,
ne02_puku,449.51,1071.91,31.32,
ne02_puku1,495.22,1214.60,46.19,
ne02_puku2,450.67,1262.07,27.27,
ne02_taka,844.49,1755.98,27.06,
ne02_taka1,831.41,1584.19,29.34,
ne02_taka2,813.43,1649.51,27.94,
ne02_teke,519.07,2412.64,30.74,
ne02_teke1,484.66,2463.86,36.85,
ne02_teke2,816.85,1803.04,38.29,
ne02_tiki,298.55,2870.35,40.69,
ne02_tiki1,309.85,2743.02,33.51,
ne02_tiki2,296.43,2714.45,31.51,
ne02_toko,458.53,1004.47,36.62,
ne02_toko1,601.97,1163.43,45.08,
ne02_toko2,533.56,1020.54,36.93,
ne02_tuku,468.81,1302.88,24.15,
ne02_tuku1,441.12,1119.84,45.13,
ne02_tuku2,784.37,1283.13,43.36,
